arabic	loc	caphi
صَّمَد	ṣamad	s. a m a d
وَضع	waḍʻ	w a d. 3
عِوَض	ʻiwaḍ	3 i w a d.
دَلو	dalw	d a l w
يَد	yad	y a d
حِيَل	ḥiyal	7 i y a l
طَهي	ṭahy	t. a h y
-	-	-
أُولى	ūlá	2 uu l a
صُورَة	ṣūrah	s. uu r a
ذُو	dhū	dh uu
إِيمان	īmān	2 ii m aa n
جِيل	jīl	dj ii l
فِي	fī	f ii
كِتَاب	kitāb	k i t aa b
سَحَاب	saḥāb	s a 7 aa b
جُمَان	jumān	dj u m aa n
-	-	-
أوج	awj	2 a w dj
نَوم	nawm	n a w m
لَو	law	l a w
أيسَر	aysar	2 a y s a r
أَيسَر	aysar	2 a y s a r
شَيخ	shaykh	sh a y kh
عَينَي	ʻaynay	3 a y n a y
-	-	-
فَعَلوا	faʻalū	f a 3 a l u
أُولائِكَ	ulāʼika	2 u l aa 2 i k a
أُوقِيَّة	ūqīyah	2 uu q i y y a
-	-	-
فَاعِل	fāʻil	f aa 3 i l
رِضا	riḍā	r i d. aa
رِضَا	riḍā	r i d. aa
-	-	-
حَتَّى	ḥattá	7 a t t a
مَضَى	maḍá	m a d. a
كُبرَى	kubrá	k u b r a
يَحيَى	yaḥyá	y a 7 y a
مُسَمَّى	musammá	m u s a m m a
مُصطَفَى	muṣṭafá	m u s. t. a f a
-	-	-
رَضِيّ	raḍī	r a d. i y y
الدِين	aldīn	2 a l d ii n
-	-	-
صَلاة	ṣalāh	s. a l aa
الرِسالَة	alrisālah	2 a l r i s aa l a
البَهِيَّة	albahīyah	2 a l b a h i y y a
مِرآة	mirʼāh	m i r 2 aa
أُرجُوزَة	urjūzah	2 u r dj uu z a
فِي	fī	f ii
الطِبّ	alṭibb	2 a l t. i b b
-	-	-
أسَد	asad	2 a s a d
أُنس	uns	2 u n s
إذا	idhā	2 i dh aa
مَسأَلَة	masʼalah	m a s 2 a l a
مُؤتَمَر	muʼtamar	m u 2 t a m a r
دَائِم	dāʼim	d aa 2 i m
مَلَأَ	malaʼa	m a l a 2 a
خَطِئَ	khaṭiʼa	kh a t. i 2 a
-	-	-
رِحلَة	riḥlah	r i 7 l a
ٱِبن	ibn	2 i b n
جُبَير	jubayr	dj u b a y r
إِستِدراك	istidrāk	2 i s t i d r aa k
كُتُب	kutub	k u t u b
ٱِقتَنَتها	iqtanathā	2 i q t a n a t h aa
ٱَلمَجِيد	almajīd	2 a l m a dj ii d
-	-	-
آلَة	ālah	2 aa l a
كُلِّيَّة	kullīyah	k u l l i y y a
آداب	ādāb	2 aa d aa b
تَآلِيف	taʼālīf	t a 2 aa l ii f
مَآثِر	maʼāthir	m a 2 aa th i r
خُلَفآء	khulafāʼ	kh u l a f aa 2
-	-	-
عَدُوّ	ʻadūw	3 a d u w w
قُوَّة	qūwah	q u w w a
شَوَّال	shawwāl	sh a w w aa l
صَوَّرَ	ṣawwara	s. a w w a r a
جَوّ	jaww	dj a w w
-	-	-
المِصرِيّ	almiṣrī	2 a l m i s. r i y y
المِصرِيَّة	almiṣrīyah	2 a l m i s. r i y y a
-	-	-
أيَّام	ayyām	2 a y y aa m
سَيِّد	sayyid	s a y y i d
قُصَيّ	quṣayy	q u s. a y y
غَزِّيّ	ghazzī	gh a z z i y y
كَشَّاف	kashshāf	k a sh sh aa f
-	-	-
قَاضٍ	qāḍin	q aa d. i n
مَعنًى	maʻnan	m a 3 n a n
طَبعًا	ṭabʻan	t. a b 3 a n
فَجأَتًا	fajʼatan	f a dj 2 a t a n
وَضعًا	waḍʻan	w a d. 3 a n
صُقعًا	ṣuqʻan	s. u q 3 a n
